SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
11500,"Ch Lynch Bages",1989,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1989/-/-/u,$420.00,"THE ODD WINE CO. LLC","1989Lynch Bages Pauillac","USA (FL)"
11500,"Ch Lynch Bages",1989,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1989/-/-/u,$440.00,"The Redd Collection","1989Ch Lynch Bages","USA (CA)"
11500,"Ch Lynch Bages",1989,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1989/-/-/u,$495.00,"Sokolin & Co.","1989Lynch Bages(12-PackOWC)","USA (NY)"
11500,"Ch Lynch Bages",1989,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1989/-/-/u,$1125.00,"Sokolin & Co.","1989Lynch Bages","USA (NY)"
11501,"Ch Lynch Bages",1997,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1997/-/-/u,$137.00,"The Redd Collection","1997Ch Lynch Bages","USA (CA)"
11501,"Ch Lynch Bages",1997,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1997/-/-/u,$175.00,"Sokolin & Co.","1997Lynch Bages","USA (NY)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$139.00,"Flickinger Wines","1998Ch.Lynch Bages Pauillac","USA (IL)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$164.00,"The Redd Collection","1998Ch Lynch Bages","USA (CA)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$169.00,"Westgarth Wines","1998Lynch Bages","USA (CA)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$189.99,"K&L Wine Merchants","1998Lynch-Bages Pauillac","USA (CA)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$205.00,"Sokolin & Co.","1998Lynch Bages","USA (NY)"
11502,"Ch Lynch Bages",1998,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/1998/-/-/u,$2025.00,"Westgarth Wines","1998Lynch Bages","USA (CA)"
11503,"Ch Lynch Bages",2002,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2002/-/-/u,$124.95,"Real Wine","2002Chateau Lynch-Bages","USA (FL)"
11503,"Ch Lynch Bages",2002,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2002/-/-/u,$135.00,Vinfolio,2002Lynch-Bages750ML,"USA (CA)"
11503,"Ch Lynch Bages",2002,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2002/-/-/u,$137.00,"The Redd Collection","2002Ch Lynch Bages","USA (CA)"
11503,"Ch Lynch Bages",2002,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2002/-/-/u,$475.00,Cellaraiders,"2002Lynch Bages","USA (NY)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$175.00,"The Redd Collection","2005Ch Lynch Bages","USA (CA)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$179.00,"Belmont Wine Exchange LLC","2005Lynch Bages","USA (CA)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$180.00,"Westgarth Wines","2005Lynch Bages","USA (CA)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$185.00,IronGate.Wine,"2005Lynch Bages-750mL","USA (NY)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$189.00,"Flickinger Wines","2005Ch.Lynch Bages Pauillac","USA (IL)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$199.00,"Sokolin & Co.","2005Lynch Bages","USA (NY)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$219.99,"K&L Wine Merchants","2005Lynch-Bages Pauillac","USA (CA)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$249.00," Shop","Chateau Lynch-Bages Pauillac2005","USA (NJ)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$249.99,"Wine House","2005Lynch Bages Pauillac750ml","USA (CA)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$259.00,"Morrell & Company","Lynch Bages Pauillac2005750ML","USA (NY)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$299.99,"Pogo's Liquor Inc.","Chateau Lynch-Bages-Pauillac2005","USA (TX)"
11505,"Ch Lynch Bages",2005,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2005/-/-/u,$349.99,"Beverly Hills Liquor and Wine","2005Chateau Lynch Bages Grand Cru Classe","USA (CA)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$139.00,"The Redd Collection","2006Ch Lynch Bages","USA (CA)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$144.00,"Westgarth Wines","2006Lynch Bages","USA (CA)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$150.00,Vinfolio,2006Lynch-Bages750ML,"USA (CA)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$175.00,"Sokolin & Co.","2006Lynch Bages","USA (NY)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$179.99,"K&L Wine Merchants","2006Lynch-Bages Pauillac","USA (CA)"
11506,"Ch Lynch Bages",2006,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2006/-/-/u,$665.00,"Sokolin & Co.","2006Lynch Bages","USA (NY)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$177.00,"The Redd Collection","2009Ch Lynch Bages","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$185.00,"Benchmark Wine Group","Lynch Bages2009","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$189.99,"Grand Vin Wine Merchants US","Lynch Bages2009(750ML)Pauillac","USA (WA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$190.00,"Westgarth Wines","2009Lynch Bages","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$195.00,"European Wine Resource","2009Lynch Bages","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$199.95,"Vickers Wine On-line","Chateau Lynch-Bages Pauillac2009","USA (RI)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$209.00,"Sokolin & Co.","2009Lynch Bages","USA (NY)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$209.99,"Wine Legend","Chateau Lynch-Bages-Pauillac2009","USA (NJ)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$211.99,"Gary's Wine & Marketplace","Chateau Lynch Bages-Pauillac2009","USA (NJ)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$215.00,Vinfolio,2009Lynch-Bages750ML,"USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$219.95,"Gil Turner's Fine Wines and Spirits","2009Chateau Lynch Bages Pauillac(750ML)","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$219.99,"K&L Wine Merchants","2009Lynch-Bages Pauillac","USA (CA)"
11507,"Ch Lynch Bages",2009,750ml,https://www.wine-searcher.com/find/ch+lynch+bages/2009/-/-/u,$235.00,"Morrell & Company","Lynch Bages Pauillac2009(750ML)","USA (NY)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$999.00,"J&M Fine Wines","1982Chateau Margaux","USA (MA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1040.00,"No Limit Fine Wines","1982Margaux Bordeaux","USA (CA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1099.00,"Acker Merrall & Condit New York Retail",1982Margaux,"USA (NY)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1149.00,"Benchmark Wine Group",Margaux1982,"USA (CA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1200.00,Vinfolio,1982Margaux750ML,"USA (CA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1295.00,"Sokolin & Co.",1982Margaux,"USA (NY)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1350.00,"Grand Vin Wine Merchants US",Margaux1982(750ML),"USA (WA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1450.00,"Lynnway Liquor Mart",Ch.Margaux1982750ml,"USA (MA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1573.89,"Aabalat Fine & Rare Wines","1982Chateau Margaux Red Blend","USA (CA)"
11508,"Ch Margaux",1982,750ml,https://www.wine-searcher.com/find/ch+margaux/1982/-/-/u,$1625.00,"Morrell & Company","Chateau Margaux Margaux1982750ML","USA (NY)"
